item_#,strUC,common_name,scientific_name,doi,url,editors,reviewer,start_date,end_date,publication_date
59f5ebf5e4b063d5d307e2e1,aENMTx,Eastern Narrow-mouthed Toad,Gastrophryne carolinensis,https://doi.org/10.5066/F7V9875N,https://www.sciencebase.gov/catalog/item/59f5ebf5e4b063d5d307e2e1,['Ken Boykin'],Steve Williams,2008,2015,2018-07
59f5e28de4b063d5d307df41,aENSAx,Ensatina,Ensatina eschscholtzii,https://doi.org/10.5066/F7G15ZWF,https://www.sciencebase.gov/catalog/item/59f5e28de4b063d5d307df41,['Ken Boykin'],Steve Williams,2008,2016,2018-07
59f5ebb8e4b063d5d307e0f5,aERBSx,Eastern Red-backed Salamander,Plethodon cinereus,https://doi.org/10.5066/F7P26X90,https://www.sciencebase.gov/catalog/item/59f5ebb8e4b063d5d307e0f5,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5e259e4b063d5d307de1b,aETSAx,Eastern Tiger Salamander,Ambystoma tigrinum,https://doi.org/10.5066/F77W6B8R,https://www.sciencebase.gov/catalog/item/59f5e259e4b063d5d307de1b,"['Matthew Rubino', 'Thomas Laxson', 'Thomas Laxson']",Jeff Lonneker,2008,2016,2018-07
59f5e223e4b063d5d307dcdb,aFBFRx,Florida Bog Frog,Lithobates okaloosae,https://doi.org/10.5066/F7QJ7GDG,https://www.sciencebase.gov/catalog/item/59f5e223e4b063d5d307dcdb,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5ec3fe4b063d5d307e55d,aFBSAx,Fern Bank Salamander,Eurycea pterophila,https://doi.org/10.5066/F79G5KX8,https://www.sciencebase.gov/catalog/item/59f5ec3fe4b063d5d307e55d,['Ken Boykin'],Steve Williams,2008,2016,2018-07
59f5ebe8e4b063d5d307e269,aFFSAx,Frosted Flatwoods Salamander,Ambystoma cingulatum,https://doi.org/10.5066/F7X0662N,https://www.sciencebase.gov/catalog/item/59f5ebe8e4b063d5d307e269,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ec63e4b063d5d307e6a3,aFMSAx,Fourch Mountain Salamander,Plethodon fourchensis,https://doi.org/10.5066/F7KW5F5C,https://www.sciencebase.gov/catalog/item/59f5ec63e4b063d5d307e6a3,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ec6ae4b063d5d307e6d9,aFOTOx,Fowler's Toad,Anaxyrus fowleri,https://doi.org/10.5066/F7736Q2P,https://www.sciencebase.gov/catalog/item/59f5ec6ae4b063d5d307e6d9,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e2a8e4b063d5d307dfd9,aFTSAx,Four-toed Salamander,Hemidactylium scutatum,https://doi.org/10.5066/F7N58KF4,https://www.sciencebase.gov/catalog/item/59f5e2a8e4b063d5d307dfd9,['Adam Radel'],Matt Rubino,2008,2013,2018-07
59f5ebb9e4b063d5d307e0f9,aFYLFx,Foothill Yellow-legged Frog,Rana boylii,https://doi.org/10.5066/F7SX6C71,https://www.sciencebase.gov/catalog/item/59f5ebb9e4b063d5d307e0f9,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5ec2ce4b063d5d307e4c7,aGBSAx,Georgia Blind Salamander,Haideotriton wallacei,https://doi.org/10.5066/F7XW4HXS,https://www.sciencebase.gov/catalog/item/59f5ec2ce4b063d5d307e4c7,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5e269e4b063d5d307de83,aGBSPx,Great Basin Spadefoot,Spea intermontana,https://doi.org/10.5066/F73F4NSQ,https://www.sciencebase.gov/catalog/item/59f5e269e4b063d5d307de83,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
